gene,log2FoldChange,p_value,adj_p_value,significant,neg_log10_p
ENSG00000085741.13,-0.763533971496654,1.1520083990102185e-54,2.169855547466012e-53,True,52.66356917722362
ENSG00000085840.13,0.7022162118748831,6.352632593156933e-36,5.087624770793733e-35,True,34.293484926837436
ENSG00000085999.13,0.8352251757903116,3.4359808055771685e-50,5.235690127433198e-49,True,48.28102606493415
ENSG00000086548.9,0.6913776480016411,1.5425020608442335e-17,5.033683224709776e-17,True,16.298114118563042
ENSG00000086570.12,-1.0824362807961345,2.187580057563819e-48,3.0556147706409103e-47,True,46.51490139928831
ENSG00000086717.18,0.8882464366530464,3.495836766684074e-32,2.377520841702378e-31,True,30.623875667283645
ENSG00000087494.16,-0.501185796670788,2.4342007741138006e-16,7.430671016490877e-16,True,15.12897196610473
ENSG00000087586.18,0.8300884712876386,6.220053763729747e-66,1.873240873962458e-64,True,63.72740637451654
ENSG00000088325.16,0.8946150499473569,1.2802221038807397e-56,2.6357327036968978e-55,True,54.57909863474401
ENSG00000088992.18,-0.7456722566334821,1.7429088983093187e-47,2.326776368346326e-46,True,45.63324535571642
ENSG00000089685.15,1.1354986048573448,6.475656210025082e-43,7.07885633393651e-42,True,41.15003690162958
ENSG00000090376.11,-0.5695255179459249,2.1104524350447265e-48,2.950366276927733e-47,True,46.5301240646408
ENSG00000090530.10,-0.62315985108112,1.0109791631308121e-58,2.248818797988297e-57,True,56.648045537096245
ENSG00000090659.18,-0.8605180006099791,1.0378317032008591e-34,7.885430074594806e-34,True,33.103174615089706
ENSG00000090889.12,1.2587701117097072,1.9722237579502681e-56,4.030428699436792e-55,True,54.394648757358205
ENSG00000091262.16,-0.621445054718188,7.884805582786701e-34,5.761359041865368e-33,True,32.239475059152554
ENSG00000091651.9,0.7725150981848778,2.164263089899776e-46,2.7840140863408437e-45,True,44.55532857164602
ENSG00000092009.10,-1.1426791915521721,4.678730756528717e-52,7.818616130295824e-51,True,50.10687010885335
ENSG00000092421.17,-0.597492297814584,3.4420263384445506e-95,3.245283242053913e-93,True,92.48874739282576
ENSG00000092607.15,-0.6120555539498316,8.175677579078581e-51,1.2871650260648005e-49,True,48.890365769090366
ENSG00000092853.14,0.939987920859851,1.702069072532397e-65,5.025646652954199e-64,True,63.29880804938187
ENSG00000093009.11,0.9419138606335264,2.4884672650760152e-43,2.7751092605289917e-42,True,41.55671991333024
ENSG00000094755.17,-0.8663836240081872,6.467680926860898e-20,2.3972458633086834e-19,True,18.620287422118825
